author,content,doc_id,note
Léa DI CIOCCIO,"Comment minimiser l'impact environnemental dès la R&D des procédés microélectroniques. Comment adresser les effets d'échelle et l'effet rebond? Sujet d'envergure mais motivant et vous serez accompagné! Nous recherchons un.e candidat.e de formation ingénieur ,école ou université (physico-chimiste, matériaux, électronique), master matériaux, génie industriel, développement durable, écoconception. Une appétence informatique est nécessaire, des connaissances ACV, ecoinnovation un vrai plus. Contact : CV plus lettre de motivation détaillant vos points forts à : olivier.girard@cea.fr ( encadrant) peggy.zwolinski@grenoble-inp.fr ( directrice de thèse GSCOP) Lea.dicioccio@cea.fr (codirectrice de thèse CEA-Leti direction)  Qui va relever le défi ? CEA-Leti, CEA, Grenoble INP - Phelma, Arts et Métiers ParisTech - École Nationale Supérieure d'Arts et Métiers, INSA Lyon - Institut National des Sciences Appliquées de Lyon, INSA Rennes - Institut National des Sciences Appliquées de Rennes, qui d'autre?         """,1,1
,,2,3
"Mahabubur Rahman, Ph.D.","Some industry-relevant insights for corporate brand managers of industrial firms as to the impact of environmental practices (eco-innovation, emission reduction & efficiency in using natural resources) on the creation of financial value of the corporate brand (with M. Ángeles Rodríguez-Serrano, University Pablo de Olavide, Spain and Anisur R. Faroque, LUT University, Finland).   shorturl.at/sBRUZ #branding #brandbuilding #b2bbranding #environmentalpolicy #environment #sustainability #ecoinnovation #marketingcommunications #climatechange '",3,1
Anne Gilbert,"Très heureuse de partager le GreenBook, notre guide des méthodes d#éco-innovation, coconçu avec Manadvise et les étudiants du track Strategy & Consulting de lEM Normandie Business School pour le programme TotalEcosolutions (https://lnkd.in/d8jGWB9) Selon que vous cherchiez à améliorer limpact environnemental dun produit, process ou service existant (approche incrémentale), à développer un nouveau produit éco-conçu (approche radicale) ou à redéfinir une proposition de valeur éco-innovante (approche disruptive), le GreenBook vous accompagne dans la mise en application des éco-innovations de demain.  Merci Benjamin Lehiany pour le pilotage du projet, Taha Benmoussa pour laccompagnement des étudiants, et bravo à @Laurie Bignalet, @Guillaume Laurent, @Maxence Plessis, @Marine Simon et Louis Merienne pour ce travail exceptionnel ! #ecoinnovation, #ecodesign, #openinnovation, #impact Lorenzo Croati David Baruchel Pierre Prat Jean-Charles Pierre GUILLET François HOT Bérénice Bougard sylvain clemendot Florent Bertini Axel Dachouffe Virginie Hurmane Maria Claudia ALVAREZ Caroline Jamin Claire Le Louët .... une inspiration ?         '",4,1
Alice IUFP_USMB,"#Métiersdavenir Master Chimie Verte et Eco-innovations   L'Université Savoie Mont Blanc forme aux métiers de demain, avec des cursus en formation initiale, accessible aussi à des adultes qui souhaitent se former, évoluer ou se reconvertir !  Renseignez-vous!  IUFP Institut Universitaire de Formation Professionnelle #formation #ChimieVerte #ecoinnovation #formationcontinue """,5,1
,,6,2
Fernando Diaz Lopez,"#callforpapers #preannouncement  Attention all academics, scientists and practitioners in the field!  Really excited to launch a pre-announcement of this call for papers at the #JournalofCleanerProduction #JCP ""A Resilient and Sustainable World: Contributions from Cleaner Production, Circular Economy and Eco-innovation"".   We welcome new contributions, but we also invite papers presented at the 10th International Workshop of Advances of Cleaner Production to submit full /reviewed manuscripts.   The deadline for full paper submission is May 30th, 2022.   Full cfp available at:  https://lnkd.in/ervt2kcm #ecoinnovation #circulareconomy #cleanerproduction #sustainabledevelopment #SDGs '",7,1
,,8,2
Jaylym Aldryne Escorpizo,"Good day, dear connections! I'm currently conducting my research on eco-innovation in the food industry within the Netherlands. I'm fascinated with how companies here perceive, process, and respond to various pressures, and how they use eco-innovation in their approach.  In pursuit of this study, I am inviting anyone working within the food industry in the Netherlands for a 10-15 minute interview, or if you know anyone that does, feel free to tag them in this post. This would build towards the development of this study, and would be immensely appreciated! Thank you and have a nice day, everyone. #connections #foodindustry #ecoinnovation #sustainability #Nederland """,9,4
Javier Carrillo-Hermosilla,"Glad to share that my paper together with Pablo del Rio and Totti Könnölä entitled ""Diversity of eco-innovations: Reflections from selected case studies"", published in 2010 by the Journal of Cleaner Production, has reached 1000 citations according to Google Scholar. This paper was ranked by ISI Web of Science as ""Highly Cited Paper"" (placed in the top 1% of its academic field) and it was also among the 25 most cited articles published in JCLP between 2010-15, extracted from Scopus.  #ecoinnovation for #circulareconomy https://lnkd.in/evcE4SwU '",10,1
Cristian Ducu,"Are you involved in eco-innovation? Then you need to read this!  #horizoneurope #lifeprogramme #innovationfund #greendeal #greenearth #greeneconomy #greenfuture #greenhydrogen #greencities #greenbuilding #ecoinnovation #innovation #eicaccelerator '",11,3
,,12,3
"Hugh Anthony, PhD","Eco-Innovation Alert : Alain Verschueren wears a portable oasis around his head instead of a face mask   #ecoinnovation #greenhouse #health #wellbeing '",13,4
Aad Berkhout,"Visionary leaders develop an adhocracy culture in the organization through which they encourage an entrepreneurial environment, new idea generation, and encourage risk-taking that eventually boost eco-innovation  #ecoinnovation #leadership #transformation #transformationalleadership '",14,1
Gitte Saaby KjÃ¦r,"Så stolt af Miljøstyrelsen kan se det store potientiale i New Loop og nu har valgt at støtte os med midler.   This is happening guys and girls         '",15,3
Ruediger Vogt,"BNPL, MarPay, Contactless - all about the Key Payment Trends for 2022 in this great PaymentsJournal article by Dominic Hofer. Contact us at Giesecke+Devrient to find out how you can take the payment experience to the next level for your customers. With eco-innovation, digital and phygital solutions, wearables and much more! https://lnkd.in/daQeH-EZ Dr. Carsten Wengel Jukka Yliuntinen Marika Pirhonen Kristin Gringel  Andrea Paric Jordi Mier Ricardo Alonso Lamadrid David González Karen Coe Kate Mythen Joe Burgess Axel Lange Oliver Georg Ekkehard Lierow Jean-Christophe Lambrois Philippe Delanoue Olivier Sery Mark Van Horn Bill Caldwell Volker Dinges Naresh Rao Pradeep Nambiar Lucy Kratz Jessica Wood Carlo Lacota Milly Zivanovic Simone Schannewitzky Barnabás Ferenczi Jen Abdin Eric Megret-Dorne Sascha Behlendorf Leonie Knittel Alex Gatiragas Jordi Quesada Clint de Abreu Mikko Kähkönen Emmanuel P. #neobanks #gd_fintech #paymentsinnovation #payments #customerexperience #phygital #fintechstartup #fintechs #fintech  #lifestyle #success #easydoesit #expertsolutions #digital #powertothepeople #happycustomers #brand #mobilepayment #bankingindustry #onlineshopping #innovation #consumerbehavior #experience #bnpl #marpay #contactless #contactlesspayments #ecoinnovation #co2reduction #retailing #ecommerce #tokenization '",16,4
TC Consult Ltd,"TC Consult helping Coventry lead the way in recycling innovation. Read the latest. https://lnkd.in/eY5ny63h  #EcoInnovation #Coventry #Recycling #Construction #ClimateAction '",17,3
Steve Brent,"Cheers to this amazing ecoinnovation!!!         '",18,3
Dr. Muhammad Atif Nawaz Baloch,"Alhamdulilah. All praise to the Allah Almighty. I am glad to share that our paper titled ""A step toward reducing air pollution in top Asian economies: The role of green energy, eco-innovation, and environmental taxes"" is published online. the details are as follows:  Journal: Journal of Environmental Management  Publisher: Elsevier  ABDC: A ranked  WOS Impact Factor: 6.79  WOS & Scopus: Q1  First 50 downloads are free. Happy Reading.    #sustainability #climatechange #environment #environmental #innovation #greenenergy #ecoinnovation #environmentalscience #environmentaltaxes #sustainabledevelopment #airpollution '",19,1
,,20,4
,,21,1
