authors,content,doc_id,note
"Mahabubur Rahman, Ph.D.","Some industry-relevant insights for corporate brand managers of industrial firms as to the impact of environmental practices (eco-innovation, emission reduction & efficiency in using natural resources) on the creation of financial value of the corporate brand (with M. Ángeles Rodríguez-Serrano, University Pablo de Olavide, Spain and Anisur R. Faroque, LUT University, Finland).   shorturl.at/sBRUZ #branding #brandbuilding #b2bbranding #environmentalpolicy #environment #sustainability #ecoinnovation #marketingcommunications #climatechange '",3,1.0
Anne Gilbert,"Très heureuse de partager le GreenBook, notre guide des méthodes d#éco-innovation, coconçu avec Manadvise et les étudiants du track Strategy & Consulting de lEM Normandie Business School pour le programme TotalEcosolutions (https://lnkd.in/d8jGWB9) Selon que vous cherchiez à améliorer limpact environnemental dun produit, process ou service existant (approche incrémentale), à développer un nouveau produit éco-conçu (approche radicale) ou à redéfinir une proposition de valeur éco-innovante (approche disruptive), le GreenBook vous accompagne dans la mise en application des éco-innovations de demain.  Merci Benjamin Lehiany pour le pilotage du projet, Taha Benmoussa pour laccompagnement des étudiants, et bravo à @Laurie Bignalet, @Guillaume Laurent, @Maxence Plessis, @Marine Simon et Louis Merienne pour ce travail exceptionnel ! #ecoinnovation, #ecodesign, #openinnovation, #impact Lorenzo Croati David Baruchel Pierre Prat Jean-Charles Pierre GUILLET François HOT Bérénice Bougard sylvain clemendot Florent Bertini Axel Dachouffe Virginie Hurmane Maria Claudia ALVAREZ Caroline Jamin Claire Le Louët .... une inspiration ?         '",4,1.0
Alice IUFP_USMB,"#Métiersdavenir Master Chimie Verte et Eco-innovations   L'Université Savoie Mont Blanc forme aux métiers de demain, avec des cursus en formation initiale, accessible aussi à des adultes qui souhaitent se former, évoluer ou se reconvertir !  Renseignez-vous!  IUFP Institut Universitaire de Formation Professionnelle #formation #ChimieVerte #ecoinnovation #formationcontinue """,5,1.0
Fernando Diaz Lopez,"#callforpapers #preannouncement  Attention all academics, scientists and practitioners in the field!  Really excited to launch a pre-announcement of this call for papers at the #JournalofCleanerProduction #JCP ""A Resilient and Sustainable World: Contributions from Cleaner Production, Circular Economy and Eco-innovation"".   We welcome new contributions, but we also invite papers presented at the 10th International Workshop of Advances of Cleaner Production to submit full /reviewed manuscripts.   The deadline for full paper submission is May 30th, 2022.   Full cfp available at:  https://lnkd.in/ervt2kcm #ecoinnovation #circulareconomy #cleanerproduction #sustainabledevelopment #SDGs '",7,1.0
Jaylym Aldryne Escorpizo,"Good day, dear connections! I'm currently conducting my research on eco-innovation in the food industry within the Netherlands. I'm fascinated with how companies here perceive, process, and respond to various pressures, and how they use eco-innovation in their approach.  In pursuit of this study, I am inviting anyone working within the food industry in the Netherlands for a 10-15 minute interview, or if you know anyone that does, feel free to tag them in this post. This would build towards the development of this study, and would be immensely appreciated! Thank you and have a nice day, everyone. #connections #foodindustry #ecoinnovation #sustainability #Nederland """,9,4.0
Javier Carrillo-Hermosilla,"Glad to share that my paper together with Pablo del Rio and Totti Könnölä entitled ""Diversity of eco-innovations: Reflections from selected case studies"", published in 2010 by the Journal of Cleaner Production, has reached 1000 citations according to Google Scholar. This paper was ranked by ISI Web of Science as ""Highly Cited Paper"" (placed in the top 1% of its academic field) and it was also among the 25 most cited articles published in JCLP between 2010-15, extracted from Scopus.  #ecoinnovation for #circulareconomy https://lnkd.in/evcE4SwU '",10,1.0
Cristian Ducu,Are you involved in eco-innovation? Then you need to read this!  #horizoneurope #lifeprogramme #innovationfund #greendeal #greenearth #greeneconomy #greenfuture #greenhydrogen #greencities #greenbuilding #ecoinnovation #innovation #eicaccelerator ',11,3.0
"Hugh Anthony, PhD",Eco-Innovation Alert : Alain Verschueren wears a portable oasis around his head instead of a face mask   #ecoinnovation #greenhouse #health #wellbeing ',13,4.0
Aad Berkhout,"Visionary leaders develop an adhocracy culture in the organization through which they encourage an entrepreneurial environment, new idea generation, and encourage risk-taking that eventually boost eco-innovation  #ecoinnovation #leadership #transformation #transformationalleadership '",14,1.0
Gitte Saaby KjÃ¦r,Så stolt af Miljøstyrelsen kan se det store potientiale i New Loop og nu har valgt at støtte os med midler.   This is happening guys and girls         ',15,3.0
